Previous_Crop,Soil_pH,Soil_Moisture,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Recommended_Next_Crop
Potato,5.43,55.37,93,181,58,34.94,92.9,171.95,Barley
Maize,5.56,54.89,7,146,53,44.05,50.99,435.84,Wheat
Wheat,6.72,48.02,85,66,145,28.81,47.87,252.61,Soybean
Barley,5.3,73.25,88,45,0,27.45,36.35,120.12,Potato
Rice,5.68,20.68,137,93,148,16.56,91.79,192.26,Maize
Potato,5.45,34.85,112,137,27,32.18,37.4,52.92,Barley
Barley,8.29,59.26,156,112,111,30.67,70.93,452.02,Potato
Rice,8.28,65.28,167,92,15,32.82,90.46,204.1,Maize
Cotton,6.94,42.33,192,145,175,10.91,22.79,490.2,Peanut
Cotton,8.2,80.03,20,139,27,29.21,86.3,173.77,Peanut
Peanut,7.64,43.24,151,48,149,30.82,52.85,418.18,Sugarcane
Barley,6.86,42.22,187,22,111,17.26,72.64,128.19,Potato
Cotton,4.53,12.9,153,61,128,17.29,49.79,38.08,Peanut
Rice,7.59,54.09,8,10,115,19.67,75.64,15.87,Maize
Peanut,7.31,66.69,147,72,169,34.91,40.34,303.08,Sugarcane
Rice,6.96,19.16,183,117,97,31.22,21.75,155.79,Maize
Peanut,7.54,34.43,35,183,69,39.6,95.82,221.76,Sugarcane
Barley,6.55,72.5,35,87,91,20.35,21.31,409.32,Potato
Potato,7.32,39.27,72,88,2,41.92,85.93,124.05,Barley
Sugarcane,8.24,29.33,149,54,80,36.03,33.53,154.33,Rice
Tomato,6.0,63.78,0,152,43,23.83,51.38,422.67,Cotton
Potato,7.33,25.74,68,8,154,13.33,85.8,246.38,Barley
Soybean,6.4,81.65,36,11,178,18.99,36.47,413.83,Wheat
Rice,7.2,18.45,71,138,23,43.49,89.26,187.24,Maize
Soybean,7.55,66.52,106,112,147,20.86,59.82,199.18,Wheat
Potato,4.68,49.96,95,165,159,21.55,49.29,83.57,Barley
Peanut,7.09,79.59,140,155,98,16.64,73.0,458.17,Sugarcane
Tomato,5.41,20.1,83,7,140,38.24,47.31,448.39,Cotton
Tomato,7.18,64.23,42,174,111,19.65,47.78,492.11,Cotton
Wheat,6.37,55.76,36,35,170,21.56,78.68,201.22,Soybean
Tomato,7.59,48.41,24,124,147,24.5,44.79,409.31,Cotton
Sugarcane,4.99,49.31,148,49,122,25.18,36.06,207.48,Rice
Tomato,7.01,67.76,168,106,111,24.4,84.61,227.15,Cotton
Potato,5.61,85.02,72,8,129,27.63,84.43,415.0,Barley
Wheat,7.91,17.3,169,187,67,38.51,59.81,88.68,Soybean
Potato,8.21,11.56,41,199,90,38.67,62.13,110.16,Barley
Potato,8.49,74.46,1,66,59,37.94,75.69,157.36,Barley
Maize,7.68,18.65,195,52,131,13.54,60.74,394.09,Wheat
Wheat,7.51,88.94,135,81,123,37.99,53.36,186.33,Soybean
Potato,5.36,59.55,95,109,95,14.21,99.59,179.08,Barley
Maize,5.84,62.07,60,144,144,14.37,31.81,499.41,Wheat
Maize,6.36,25.91,13,52,128,43.18,67.42,191.9,Wheat
Wheat,7.59,29.22,112,155,32,38.68,90.87,123.89,Soybean
Soybean,8.16,62.75,76,113,29,29.33,74.98,311.61,Wheat
Peanut,5.26,82.78,20,62,4,40.62,90.47,400.94,Sugarcane
Sugarcane,8.19,88.59,151,142,117,44.63,46.91,34.8,Rice
Peanut,7.28,25.84,177,18,139,31.37,41.76,309.45,Sugarcane
Tomato,6.94,20.73,172,123,159,31.45,88.1,17.87,Cotton
Sugarcane,5.3,14.51,191,85,37,36.4,51.53,263.17,Rice
Tomato,4.72,79.46,63,69,16,18.12,76.77,128.5,Cotton
Potato,6.77,33.58,153,46,185,15.85,31.82,153.32,Barley
Rice,7.11,10.14,159,198,108,36.59,80.47,233.55,Maize
Wheat,5.34,27.91,56,107,39,22.07,63.92,463.55,Soybean
Sugarcane,6.73,37.24,118,175,151,14.73,41.49,355.33,Rice
Sugarcane,7.93,89.28,180,19,139,21.02,59.56,468.42,Rice
Potato,7.84,51.88,160,36,110,22.55,75.76,329.99,Barley
Soybean,8.21,26.38,51,129,127,43.78,20.95,3.55,Wheat
Maize,5.96,36.79,94,191,94,34.43,71.0,132.79,Wheat
Potato,5.77,36.42,145,35,146,28.58,63.33,452.89,Barley
Cotton,7.5,11.58,162,132,28,43.91,37.62,321.72,Peanut
Maize,6.22,20.81,139,63,179,41.61,80.24,490.82,Wheat
Wheat,4.85,65.62,178,6,144,27.92,44.28,77.98,Soybean
Maize,5.63,19.62,88,197,72,41.7,42.15,148.37,Wheat
Soybean,6.17,28.46,9,119,20,24.15,57.7,181.18,Wheat
Maize,5.67,38.06,51,21,59,18.06,74.09,163.28,Wheat
Wheat,5.83,70.62,33,45,97,18.14,94.31,126.0,Soybean
Soybean,5.68,56.59,114,167,74,33.18,31.31,221.73,Wheat
Peanut,4.67,65.12,194,188,118,27.54,51.72,321.15,Sugarcane
Sugarcane,7.05,55.36,166,109,147,33.06,25.36,155.63,Rice
Sugarcane,6.89,64.69,135,45,112,34.01,80.68,39.85,Rice
Tomato,7.11,10.23,124,27,180,10.78,55.82,354.27,Cotton
Peanut,5.27,84.47,156,86,113,11.89,76.55,229.51,Sugarcane
Peanut,5.68,18.87,149,34,102,28.64,45.78,278.24,Sugarcane
Maize,6.98,42.5,197,128,79,16.69,87.55,227.7,Wheat
Sugarcane,6.9,71.68,188,156,62,32.14,62.79,445.18,Rice
Wheat,6.53,44.82,42,8,56,29.33,95.49,279.37,Soybean
Barley,5.9,85.75,176,8,28,30.5,26.31,461.64,Potato
Barley,8.15,47.41,28,21,128,20.59,61.14,255.29,Potato
Soybean,5.86,80.0,105,190,123,32.39,81.32,146.29,Wheat
Sugarcane,6.32,74.87,119,193,58,39.03,68.01,177.72,Rice
Sugarcane,7.21,88.48,80,185,191,44.93,21.86,261.06,Rice
Barley,6.67,84.12,30,69,85,39.35,97.79,264.99,Potato
Sugarcane,5.89,81.85,180,182,199,29.51,43.86,343.67,Rice
Maize,6.24,68.53,161,140,70,16.77,39.94,112.25,Wheat
Cotton,7.68,39.36,127,146,88,33.85,58.85,329.42,Peanut
Rice,5.61,18.49,37,160,97,42.82,63.37,389.29,Maize
Peanut,5.07,65.09,184,64,43,17.42,81.3,338.3,Sugarcane
Tomato,5.75,88.29,100,187,175,18.96,51.46,240.91,Cotton
Soybean,7.9,68.13,131,139,115,15.22,55.2,495.84,Wheat
Cotton,4.86,84.3,129,42,74,35.79,62.8,202.41,Peanut
Barley,8.47,74.34,11,16,142,24.23,51.55,53.3,Potato
Peanut,6.66,23.05,34,67,162,12.19,93.16,410.75,Sugarcane
Sugarcane,8.44,29.94,197,28,22,40.62,88.1,106.1,Rice
Tomato,8.26,37.35,109,182,180,29.52,56.4,356.64,Cotton
Sugarcane,6.31,23.46,71,134,44,21.59,20.02,89.49,Rice
Wheat,5.29,56.53,148,43,91,22.04,92.07,8.44,Soybean
Wheat,5.16,88.04,109,132,12,20.16,29.95,79.9,Soybean
Tomato,5.46,70.92,60,187,33,25.94,39.56,188.49,Cotton
Tomato,7.34,43.87,162,133,165,21.8,32.19,53.31,Cotton
Barley,5.59,10.36,47,6,69,29.18,34.39,98.84,Potato
Tomato,5.87,35.06,142,173,107,37.07,84.23,382.31,Cotton
Maize,6.3,52.14,70,184,195,33.61,66.36,384.94,Wheat
Sugarcane,8.15,35.94,142,53,132,20.31,96.49,408.74,Rice
Cotton,5.26,18.88,133,45,125,28.51,38.52,420.58,Peanut
Potato,4.52,45.42,67,137,167,39.4,58.85,210.22,Barley
Tomato,4.74,30.26,21,3,197,12.39,98.19,433.77,Cotton
Soybean,8.12,82.74,31,194,20,12.74,86.12,262.97,Wheat
Wheat,7.09,18.14,122,152,155,29.47,78.29,235.3,Soybean
Maize,5.59,13.93,21,90,130,32.37,35.12,359.27,Wheat
Peanut,5.21,10.43,154,60,22,17.4,81.55,106.91,Sugarcane
Potato,5.68,36.25,109,165,199,36.08,47.81,394.75,Barley
Cotton,4.96,62.83,14,159,18,32.62,62.44,214.73,Peanut
Potato,8.27,68.43,123,150,49,42.32,68.73,63.65,Barley
Tomato,7.64,46.26,43,110,185,15.91,68.75,59.66,Cotton
Barley,6.35,64.75,114,36,19,36.3,78.12,82.45,Potato
Wheat,7.96,38.79,8,2,115,12.93,72.94,445.29,Soybean
Wheat,5.5,63.42,33,12,91,29.79,25.47,495.47,Soybean
Peanut,7.37,13.25,72,161,92,29.32,56.59,178.49,Sugarcane
Barley,7.92,41.26,142,87,199,23.59,73.12,146.07,Potato
Sugarcane,5.93,73.27,189,192,82,39.56,43.68,109.39,Rice
Rice,7.53,74.24,44,75,52,10.15,45.04,411.91,Maize
Maize,5.68,67.29,71,7,122,28.21,29.97,104.6,Wheat
Wheat,5.7,26.34,57,82,84,17.6,53.49,462.05,Soybean
Soybean,4.93,29.78,114,8,81,36.02,98.95,333.68,Wheat
Wheat,6.26,89.69,18,155,8,11.51,42.83,448.56,Soybean
Potato,7.42,18.27,15,77,3,39.1,62.51,277.0,Barley
Wheat,8.26,24.45,74,123,168,39.33,79.46,345.34,Soybean
Wheat,6.92,20.4,105,145,24,39.15,21.08,309.73,Soybean
Rice,7.95,36.21,135,41,33,15.34,92.04,415.6,Maize
Rice,7.79,26.81,160,40,72,32.06,50.92,417.93,Maize
Cotton,5.19,49.82,73,197,136,10.5,89.53,294.9,Peanut
Sugarcane,6.44,48.08,17,160,81,39.68,23.12,316.25,Rice
Soybean,4.97,82.12,162,88,140,35.3,31.65,460.94,Wheat
Wheat,7.23,12.78,42,76,136,28.59,45.8,464.93,Soybean
Wheat,8.3,35.59,49,53,3,35.57,47.64,332.12,Soybean
Maize,5.05,57.73,2,163,161,13.3,87.82,3.88,Wheat
Rice,7.44,58.38,58,96,6,28.5,20.9,52.21,Maize
Soybean,7.03,48.41,27,97,14,20.19,71.29,428.97,Wheat
Peanut,6.83,75.25,45,55,37,44.04,30.5,42.36,Sugarcane
Cotton,6.06,15.02,63,99,90,40.0,85.86,106.76,Peanut
Sugarcane,5.92,75.24,69,144,51,35.66,82.29,115.27,Rice
Barley,4.68,49.58,46,9,80,42.68,59.99,300.12,Potato
Sugarcane,5.37,20.7,141,43,99,22.14,37.01,288.32,Rice
Potato,4.56,80.86,134,129,6,41.53,70.76,144.71,Barley
Wheat,6.83,61.94,158,141,106,21.38,32.5,103.81,Soybean
Cotton,4.92,23.08,105,168,44,35.65,35.2,382.27,Peanut
Potato,7.99,12.69,80,129,58,35.77,70.14,467.73,Barley
Soybean,6.59,21.29,50,18,121,10.64,99.3,26.4,Wheat
Barley,7.3,58.7,28,79,20,22.64,91.28,66.59,Potato
Rice,6.14,24.34,112,88,155,10.68,67.45,321.08,Maize
Cotton,6.74,28.06,142,0,2,44.9,63.08,402.22,Peanut
Cotton,8.27,12.01,127,129,141,14.28,99.87,395.59,Peanut
Wheat,4.83,67.83,89,26,1,29.0,63.79,359.84,Soybean
Tomato,5.52,74.83,24,1,28,37.67,53.61,443.71,Cotton
Cotton,7.62,73.75,188,178,145,17.04,92.76,108.67,Peanut
Maize,4.89,20.21,40,137,36,26.98,38.73,53.65,Wheat
Barley,4.8,82.26,68,18,172,31.26,27.8,307.68,Potato
Barley,5.95,63.78,3,140,44,15.61,70.73,411.14,Potato
Maize,4.87,81.8,104,175,151,37.25,27.67,291.02,Wheat
Peanut,6.84,45.77,184,113,119,20.48,49.85,481.5,Sugarcane
Maize,5.41,44.96,30,55,45,17.39,53.89,397.78,Wheat
Maize,8.08,72.76,130,199,139,29.54,63.8,350.4,Wheat
Barley,7.63,17.46,116,183,52,24.36,99.33,30.13,Potato
Sugarcane,7.3,51.67,194,177,44,42.21,37.68,53.87,Rice
Barley,6.97,76.91,89,94,31,40.8,50.06,392.42,Potato
Tomato,7.95,76.42,177,172,17,26.92,30.58,99.12,Cotton
Wheat,5.39,86.49,144,186,12,22.57,68.61,14.42,Soybean
Potato,7.99,65.86,187,166,131,21.39,78.21,455.38,Barley
Sugarcane,7.66,26.62,65,148,22,19.36,58.57,445.4,Rice
Rice,7.49,11.62,87,182,61,29.06,39.67,109.24,Maize
Potato,6.75,48.35,23,56,53,38.17,69.67,390.1,Barley
Wheat,5.48,51.1,98,101,182,20.88,63.13,23.99,Soybean
Tomato,6.19,29.22,159,168,68,16.65,33.69,142.53,Cotton
Tomato,7.67,19.98,104,69,167,26.64,52.45,311.83,Cotton
Rice,4.63,56.9,18,81,13,12.42,54.82,381.59,Maize
Sugarcane,7.63,71.14,65,48,97,34.54,98.61,5.2,Rice
Peanut,5.46,89.45,59,171,27,28.14,87.94,163.1,Sugarcane
Maize,5.08,70.66,114,162,199,27.37,78.75,107.17,Wheat
Sugarcane,4.96,73.49,193,90,94,20.52,91.1,499.39,Rice
Peanut,4.61,59.32,14,4,70,41.66,78.84,335.49,Sugarcane
Tomato,6.59,88.87,84,198,66,13.17,92.27,202.84,Cotton
Barley,5.37,61.2,162,178,156,40.44,24.36,37.83,Potato
Wheat,8.46,78.82,196,56,99,23.18,56.49,299.34,Soybean
Rice,6.8,85.66,154,185,60,40.82,79.75,320.85,Maize
Wheat,5.05,84.39,87,91,102,35.51,66.66,408.2,Soybean
Soybean,7.26,40.51,6,35,195,13.65,34.01,144.29,Wheat
Soybean,8.09,16.29,5,137,136,39.1,47.24,490.71,Wheat
Sugarcane,7.48,23.75,124,177,118,33.88,45.42,219.73,Rice
Tomato,4.81,14.74,32,164,16,11.13,40.91,147.97,Cotton
Tomato,8.08,18.43,57,111,48,14.68,47.45,174.22,Cotton
Maize,7.68,24.77,176,147,190,32.25,61.19,259.79,Wheat
Maize,5.13,37.29,144,12,77,33.19,88.39,468.35,Wheat
Maize,4.71,53.48,109,121,45,36.13,79.36,367.58,Wheat
Barley,6.73,66.93,41,108,92,35.21,86.82,288.55,Potato
Potato,5.12,26.87,93,146,120,33.08,90.69,81.41,Barley
Cotton,7.84,63.8,199,91,12,36.82,53.29,74.68,Peanut
Potato,5.93,66.34,167,101,44,30.13,47.68,251.1,Barley
Wheat,8.15,54.69,173,55,180,19.13,24.61,364.35,Soybean
Potato,6.76,82.29,198,44,16,41.93,94.44,375.51,Barley
Barley,5.23,18.88,197,59,46,10.64,25.27,112.96,Potato
Wheat,5.06,24.17,195,195,61,22.83,79.29,50.05,Soybean
Potato,6.81,44.29,128,184,177,35.51,50.25,192.23,Barley
Barley,7.55,20.14,78,53,42,24.95,95.9,459.09,Potato
Cotton,7.63,55.3,94,36,67,10.87,53.57,272.68,Peanut
Potato,5.6,41.87,110,36,123,12.31,85.33,160.05,Barley
Barley,5.32,32.77,96,13,108,32.7,42.61,161.82,Potato
Maize,4.57,23.6,179,94,199,43.77,43.93,66.04,Wheat
Tomato,7.22,36.83,162,171,27,29.32,67.64,236.61,Cotton
Maize,4.81,58.64,118,101,172,27.74,99.84,395.68,Wheat
Tomato,6.18,56.06,68,41,168,21.14,61.41,484.28,Cotton
Rice,6.91,23.09,132,0,93,18.98,94.9,250.8,Maize
Rice,8.25,19.99,144,22,117,10.73,82.9,83.61,Maize
Rice,5.75,12.13,180,191,163,19.55,83.67,341.48,Maize
Cotton,5.5,10.99,51,27,90,25.72,54.88,378.4,Peanut
Maize,7.12,80.38,141,131,83,16.93,50.92,35.85,Wheat
Tomato,6.98,13.61,121,168,32,13.06,35.35,425.07,Cotton
Barley,5.83,68.5,28,187,24,35.12,97.12,414.66,Potato
Wheat,8.21,79.76,135,17,18,41.31,96.75,236.27,Soybean
Barley,7.88,17.84,103,190,174,42.79,79.77,280.21,Potato
Wheat,5.4,44.9,0,188,105,31.63,43.7,356.7,Soybean
Soybean,5.46,86.98,28,48,32,11.85,39.61,338.37,Wheat
Barley,6.55,76.73,163,46,66,35.93,99.09,8.27,Potato
Potato,7.59,49.18,178,114,141,13.85,25.32,61.22,Barley
Potato,4.68,71.01,164,38,160,33.44,87.49,81.3,Barley
Sugarcane,7.27,76.67,68,5,41,37.28,48.44,377.84,Rice
Maize,7.09,37.84,52,52,192,35.41,53.51,220.04,Wheat
Wheat,5.43,81.37,123,24,94,43.32,86.56,272.75,Soybean
Wheat,7.23,47.64,179,98,46,35.84,27.25,386.34,Soybean
Maize,8.26,52.22,87,64,34,34.26,48.33,170.49,Wheat
Cotton,4.69,89.98,82,132,116,19.16,96.16,374.45,Peanut
Sugarcane,5.78,77.46,11,192,159,42.37,75.93,221.15,Rice
Cotton,6.25,38.94,51,7,182,16.28,80.4,188.59,Peanut
Cotton,8.1,10.83,128,38,181,41.67,80.6,166.52,Peanut
Cotton,8.35,60.09,134,110,75,20.94,24.85,482.47,Peanut
Maize,6.28,66.31,144,42,178,14.56,36.26,385.99,Wheat
Cotton,7.5,62.06,126,81,186,38.93,59.3,10.1,Peanut
Potato,6.63,87.43,170,122,199,10.09,49.45,478.71,Barley
Rice,6.65,79.04,70,132,141,39.12,52.87,387.72,Maize
Soybean,5.61,45.91,16,3,145,19.18,82.52,74.59,Wheat
Wheat,5.37,15.03,186,107,127,40.97,21.17,38.17,Soybean
Wheat,5.65,48.08,2,92,54,34.2,72.84,154.1,Soybean
Soybean,6.73,65.14,28,128,97,33.32,20.01,312.09,Wheat
Maize,4.62,58.62,21,93,183,22.79,25.04,308.27,Wheat
Barley,8.13,53.05,165,55,107,12.08,52.66,137.93,Potato
Maize,5.13,47.51,53,172,48,39.05,87.28,222.84,Wheat
Wheat,5.38,33.5,106,192,187,15.98,31.6,105.95,Soybean
Wheat,6.57,32.19,177,2,112,23.03,64.37,25.29,Soybean
Soybean,7.34,50.02,68,21,180,31.01,74.28,258.49,Wheat
Cotton,4.88,22.85,157,199,198,26.88,38.36,173.5,Peanut
Maize,5.77,37.25,150,55,133,16.95,60.99,271.44,Wheat
Tomato,8.37,35.92,119,17,69,14.92,92.91,473.25,Cotton
Soybean,5.55,56.97,46,152,85,14.31,60.98,71.69,Wheat
Potato,5.75,15.33,148,175,135,40.21,32.59,0.98,Barley
Wheat,7.85,76.37,19,115,142,11.1,70.23,38.44,Soybean
Soybean,4.7,54.99,150,83,153,44.2,67.38,231.35,Wheat
Maize,6.36,63.67,195,158,38,16.95,22.16,353.47,Wheat
Wheat,6.02,66.25,148,29,130,13.86,27.25,290.38,Soybean
Barley,5.77,33.32,20,79,184,30.19,32.54,247.45,Potato
Soybean,5.64,47.63,0,65,9,12.8,30.9,176.98,Wheat
Sugarcane,4.87,86.5,142,9,2,31.09,40.76,154.99,Rice
Wheat,5.76,71.34,16,198,45,39.77,56.33,188.14,Soybean
Maize,4.67,87.56,50,58,149,11.68,49.74,305.82,Wheat
Rice,7.62,69.7,190,50,66,38.0,91.25,83.88,Maize
Tomato,6.09,24.05,13,122,192,23.81,68.97,385.68,Cotton
Peanut,6.28,15.16,58,136,96,15.58,90.09,287.63,Sugarcane
Cotton,8.07,56.21,82,53,18,16.16,62.16,134.58,Peanut
Peanut,7.13,38.63,49,189,61,42.16,27.19,250.58,Sugarcane
Maize,4.53,32.04,123,80,97,13.87,57.06,481.39,Wheat
Potato,8.27,74.58,33,136,56,40.34,85.76,10.25,Barley
Potato,5.45,39.36,5,8,94,29.05,35.53,99.76,Barley
Rice,4.93,35.36,108,100,106,11.37,27.3,224.19,Maize
Cotton,7.57,78.0,48,151,87,26.26,46.35,319.22,Peanut
Sugarcane,6.5,77.7,5,38,140,38.61,51.11,106.11,Rice
Rice,6.24,38.51,116,135,143,35.42,44.5,465.7,Maize
Peanut,5.5,76.6,117,152,143,27.11,30.82,321.29,Sugarcane
Rice,6.69,78.06,196,109,114,40.1,40.07,438.72,Maize
Peanut,5.6,43.91,6,65,118,14.21,74.58,164.66,Sugarcane
Wheat,8.11,15.32,96,9,51,41.85,50.87,414.48,Soybean
Potato,5.36,10.13,178,116,40,39.63,70.6,189.11,Barley
Wheat,8.04,51.86,117,151,47,34.79,62.9,126.38,Soybean
Tomato,6.74,37.53,128,82,90,38.63,63.92,455.83,Cotton
Cotton,7.81,89.77,140,186,38,29.03,39.88,46.11,Peanut
Sugarcane,7.35,71.79,170,158,12,33.63,61.72,471.44,Rice
Peanut,7.29,70.9,26,138,131,29.62,21.89,229.26,Sugarcane
Sugarcane,5.8,86.42,198,133,95,22.44,54.54,496.31,Rice
Peanut,5.44,81.02,115,69,108,29.91,65.81,269.8,Sugarcane
Maize,5.34,35.45,130,159,103,19.01,34.56,378.74,Wheat
Rice,7.93,23.28,57,38,97,25.41,40.52,3.54,Maize
Tomato,7.78,69.67,88,175,42,19.83,37.56,248.33,Cotton
Potato,6.26,40.26,96,12,87,14.3,25.64,368.73,Barley
Peanut,5.03,47.85,16,58,92,21.27,47.83,391.41,Sugarcane
Sugarcane,6.03,60.43,172,66,173,39.82,98.32,79.02,Rice
Tomato,6.98,82.63,100,183,125,23.34,48.31,209.49,Cotton
Barley,6.32,43.53,185,40,108,36.18,56.84,209.54,Potato
Barley,7.62,72.67,183,183,46,16.13,72.25,51.82,Potato
Wheat,8.49,31.47,181,34,91,24.85,71.88,221.52,Soybean
Potato,5.26,65.84,28,165,180,14.02,95.99,403.55,Barley
Maize,6.34,10.13,101,80,152,14.85,88.61,150.09,Wheat
Sugarcane,6.22,79.72,122,194,40,31.61,83.52,216.29,Rice
Rice,5.72,12.43,53,33,2,31.26,96.13,480.48,Maize
Rice,5.29,67.02,26,75,120,17.47,38.46,15.85,Maize
Sugarcane,4.76,13.7,101,69,76,26.6,69.36,295.76,Rice
Cotton,8.05,31.3,116,10,94,40.22,90.98,371.72,Peanut
Maize,6.18,49.78,103,111,12,16.1,69.93,380.44,Wheat
Tomato,6.49,43.6,44,26,104,10.67,98.19,357.97,Cotton
Peanut,8.17,25.35,113,47,17,32.82,28.03,363.23,Sugarcane
Cotton,7.61,36.71,86,23,36,11.87,55.15,29.51,Peanut
Peanut,5.02,68.22,30,17,170,44.3,98.19,267.07,Sugarcane
Peanut,6.76,63.54,163,26,161,31.34,50.37,391.48,Sugarcane
Cotton,6.27,15.75,188,53,54,26.46,79.16,47.03,Peanut
Wheat,7.69,69.79,36,54,51,25.05,22.43,6.02,Soybean
Barley,7.4,14.24,194,119,35,30.06,75.59,407.28,Potato
Peanut,7.26,53.43,35,20,181,13.17,94.77,356.15,Sugarcane
Cotton,5.86,30.81,118,186,186,42.55,50.62,206.1,Peanut
Cotton,7.72,57.02,4,114,113,31.9,21.7,470.2,Peanut
Soybean,4.71,30.91,173,161,51,16.44,22.23,383.3,Wheat
Wheat,5.14,88.8,51,119,18,29.69,91.36,483.93,Soybean
Potato,5.84,34.78,48,57,139,14.66,77.8,464.66,Barley
Soybean,4.81,29.36,5,175,91,10.61,28.53,240.65,Wheat
Soybean,5.44,32.28,122,53,138,32.07,24.37,377.35,Wheat
Sugarcane,7.82,81.72,137,145,47,32.7,84.39,334.6,Rice
Barley,8.29,60.9,117,2,100,30.43,84.79,405.72,Potato
Cotton,5.72,68.45,22,151,98,16.42,29.64,393.84,Peanut
Barley,5.56,83.44,144,128,143,31.12,44.12,76.62,Potato
Maize,5.62,82.95,109,5,198,11.98,82.4,116.87,Wheat
Sugarcane,5.61,69.12,43,18,46,31.32,62.03,132.87,Rice
Potato,4.64,25.83,40,85,66,29.39,96.53,409.25,Barley
Barley,8.21,77.47,142,114,30,32.93,58.49,405.37,Potato
Rice,5.35,26.3,171,170,75,41.34,74.16,247.67,Maize
Peanut,6.18,69.43,185,122,7,39.76,60.78,290.42,Sugarcane
Maize,4.54,64.85,49,135,188,44.32,95.44,413.46,Wheat
Wheat,7.93,70.71,51,196,43,44.17,51.89,156.3,Soybean
Potato,7.42,52.61,69,179,177,37.03,38.38,25.09,Barley
Maize,8.29,61.1,195,72,34,43.47,46.13,241.3,Wheat
Peanut,7.63,86.27,190,46,188,40.35,88.22,456.86,Sugarcane
Sugarcane,5.75,18.09,185,84,182,35.47,59.84,395.23,Rice
Peanut,5.49,34.71,150,27,193,12.64,48.34,183.31,Sugarcane
Soybean,7.29,58.91,171,45,13,11.72,63.54,32.39,Wheat
Peanut,5.96,87.12,108,131,109,39.32,30.66,318.46,Sugarcane
Soybean,6.76,17.65,117,119,3,27.14,20.43,417.25,Wheat
